values,time_s,h,m,s
0.14,2:03:40,2,3,40
0.01,2:04:00,2,4,0
0.15,2:04:20,2,4,20
0.02,2:04:40,2,4,40
0.14,2:05:00,2,5,0
0.11,2:05:20,2,5,20
0.05,2:05:40,2,5,40
0.08,2:06:00,2,6,0
0.08,2:06:20,2,6,20
0.11,2:06:40,2,6,40
0.05,2:07:00,2,7,0
0.09,2:07:20,2,7,20
0.07,2:07:40,2,7,40
0.13,2:08:00,2,8,0
0.03,2:08:20,2,8,20
0.13,2:08:40,2,8,40
0.03,2:09:00,2,9,0
0.02,2:09:20,2,9,20
0.14,2:09:40,2,9,40
0.09,2:10:00,2,10,0
0.07,2:10:20,2,10,20
0.09,2:10:40,2,10,40
0.07,2:11:00,2,11,0
0.13,2:11:20,2,11,20
0.03,2:11:40,2,11,40
0.11,2:12:00,2,12,0
0.05,2:12:20,2,12,20
0.04,2:12:40,2,12,40
0.12,2:13:00,2,13,0
0.11,2:13:20,2,13,20
0.05,2:13:40,2,13,40
0.11,2:14:00,2,14,0
0.05,2:14:20,2,14,20
0.1,2:14:40,2,14,40
0.06,2:15:00,2,15,0
0.07,2:15:20,2,15,20
0.09,2:15:40,2,15,40
0.13,2:16:00,2,16,0
0.03,2:16:20,2,16,20
0.1,2:16:40,2,16,40
0.06,2:17:00,2,17,0
0.11,2:17:20,2,17,20
0.05,2:17:40,2,17,40
0.08,2:18:00,2,18,0
0.08,2:18:20,2,18,20
0.11,2:18:40,2,18,40
0.05,2:19:00,2,19,0
0.02,2:19:20,2,19,20
0.14,2:19:40,2,19,40
0.08,2:20:00,2,20,0
0.08,2:20:20,2,20,20
0.06,2:20:40,2,20,40
0.1,2:21:00,2,21,0
0.1,2:21:20,2,21,20
0.06,2:21:40,2,21,40
0.11,2:22:00,2,22,0
0.05,2:22:20,2,22,20
0.06,2:22:40,2,22,40
0.1,2:23:00,2,23,0
0.07,2:23:20,2,23,20
0.09,2:23:40,2,23,40
0.03,2:24:00,2,24,0
0.13,2:24:20,2,24,20
0.01,2:24:40,2,24,40
0.15,2:25:00,2,25,0
0.05,2:25:20,2,25,20
0.11,2:25:40,2,25,40
0.08,2:26:00,2,26,0
0.08,2:26:20,2,26,20
0.08,2:26:40,2,26,40
0.08,2:27:00,2,27,0
0.07,2:27:20,2,27,20
0.09,2:27:40,2,27,40
0.1,2:28:00,2,28,0
0.06,2:28:20,2,28,20
0.05,2:28:40,2,28,40
0.11,2:29:00,2,29,0
0.04,2:29:20,2,29,20
0.12,2:29:40,2,29,40
0.03,2:30:00,2,30,0
0.13,2:30:20,2,30,20
0.11,2:30:40,2,30,40
0.05,2:31:00,2,31,0
0.09,2:31:20,2,31,20
0.07,2:31:40,2,31,40
0.06,2:32:00,2,32,0
0.1,2:32:20,2,32,20
0.04,2:32:40,2,32,40
0.12,2:33:00,2,33,0
0.01,2:33:20,2,33,20
0.15,2:33:40,2,33,40
0.05,2:34:00,2,34,0
0.11,2:34:20,2,34,20
0.06,2:34:40,2,34,40
0.1,2:35:00,2,35,0
0.03,2:35:20,2,35,20
0.13,2:35:40,2,35,40
0.07,2:36:00,2,36,0
0.09,2:36:20,2,36,20
0.1,2:36:40,2,36,40
0.06,2:37:00,2,37,0
0.07,2:37:20,2,37,20
0.09,2:37:40,2,37,40
0.07,2:38:00,2,38,0
0.09,2:38:20,2,38,20
0.05,2:38:40,2,38,40
0.11,2:39:00,2,39,0
0.08,2:39:20,2,39,20
0.08,2:39:40,2,39,40
0.11,2:40:00,2,40,0
0.05,2:40:20,2,40,20
0.07,2:40:40,2,40,40
0.09,2:41:00,2,41,0
0.1,2:41:20,2,41,20
0.06,2:41:40,2,41,40
0.02,2:42:00,2,42,0
0.14,2:42:20,2,42,20
0.05,2:42:40,2,42,40
0.11,2:43:00,2,43,0
0.05,2:43:20,2,43,20
0.11,2:43:40,2,43,40
0.02,2:44:00,2,44,0
0.14,2:44:20,2,44,20
0.06,2:44:40,2,44,40
0.1,2:45:00,2,45,0
0.02,2:45:20,2,45,20
0.14,2:45:40,2,45,40
0.05,2:46:00,2,46,0
0.11,2:46:20,2,46,20
0.09,2:46:40,2,46,40
0.07,2:47:00,2,47,0
0.11,2:47:20,2,47,20
0.05,2:47:40,2,47,40
0.03,2:48:00,2,48,0
0.13,2:48:20,2,48,20
0.04,2:48:40,2,48,40
0.12,2:49:00,2,49,0
0.08,2:49:20,2,49,20
0.08,2:49:40,2,49,40
0.11,2:50:00,2,50,0
0.05,2:50:20,2,50,20
0.07,2:50:40,2,50,40
0.09,2:51:00,2,51,0
0.02,2:51:20,2,51,20
0.14,2:51:40,2,51,40
0.13,2:52:00,2,52,0
0.03,2:52:20,2,52,20
0.04,2:52:40,2,52,40
0.12,2:53:00,2,53,0
0.08,2:53:20,2,53,20
0.08,2:53:40,2,53,40
0.11,2:54:00,2,54,0
0.05,2:54:20,2,54,20
0.09,2:54:40,2,54,40
0.07,2:55:00,2,55,0
0.09,2:55:20,2,55,20
0.07,2:55:40,2,55,40
0.08,2:56:00,2,56,0
0.08,2:56:20,2,56,20
0.04,2:56:40,2,56,40
0.12,2:57:00,2,57,0
0.06,2:57:20,2,57,20
0.1,2:57:40,2,57,40
0.06,2:58:00,2,58,0
0.1,2:58:20,2,58,20
0.02,2:58:40,2,58,40
0.14,2:59:00,2,59,0
0.11,2:59:20,2,59,20
0.05,2:59:40,2,59,40
0.04,3:00:00,3,0,0
0.12,3:00:20,3,0,20
0.02,3:00:40,3,0,40
0.14,3:01:00,3,1,0
0.05,3:01:20,3,1,20
0.11,3:01:40,3,1,40
0.09,3:02:00,3,2,0
0.07,3:02:20,3,2,20
0.13,3:02:40,3,2,40
0.03,3:03:00,3,3,0
0.02,3:03:20,3,3,20
0.14,3:03:40,3,3,40
0.02,3:04:00,3,4,0
0.14,3:04:20,3,4,20
0.02,3:04:40,3,4,40
0.14,3:05:00,3,5,0
0.03,3:05:20,3,5,20
0.13,3:05:40,3,5,40
0.09,3:06:00,3,6,0
0.07,3:06:20,3,6,20
0.02,3:06:40,3,6,40
0.14,3:07:00,3,7,0
0.1,3:07:20,3,7,20
0.06,3:07:40,3,7,40
0.1,3:08:00,3,8,0
0.06,3:08:20,3,8,20
0.13,3:08:40,3,8,40
0.03,3:09:00,3,9,0
0.09,3:09:20,3,9,20
0.07,3:09:40,3,9,40
0.05,3:10:00,3,10,0
0.11,3:10:20,3,10,20
0.01,3:10:40,3,10,40
0.15,3:11:00,3,11,0
0.13,3:11:20,3,11,20
0.03,3:11:40,3,11,40
0.06,3:12:00,3,12,0
0.1,3:12:20,3,12,20
0.13,3:12:40,3,12,40
0.03,3:13:00,3,13,0
0.06,3:13:20,3,13,20
0.1,3:13:40,3,13,40
0.13,3:14:00,3,14,0
0.03,3:14:20,3,14,20
0.02,3:14:40,3,14,40
0.14,3:15:00,3,15,0
0.09,3:15:20,3,15,20
0.07,3:15:40,3,15,40
0.07,3:16:00,3,16,0
0.09,3:16:20,3,16,20
0.05,3:16:40,3,16,40
0.11,3:17:00,3,17,0
0.1,3:17:20,3,17,20
0.06,3:17:40,3,17,40
0.06,3:18:00,3,18,0
0.1,3:18:20,3,18,20
0.11,3:18:40,3,18,40
0.05,3:19:00,3,19,0
0.13,3:19:20,3,19,20
0.03,3:19:40,3,19,40
0.04,3:20:00,3,20,0
0.12,3:20:20,3,20,20
0.04,3:20:40,3,20,40
0.12,3:21:00,3,21,0
0.13,3:21:20,3,21,20
0.03,3:21:40,3,21,40
0.08,3:22:00,3,22,0
0.08,3:22:20,3,22,20
0.11,3:22:40,3,22,40
0.05,3:23:00,3,23,0
0.06,3:23:20,3,23,20
0.1,3:23:40,3,23,40
0.1,3:24:00,3,24,0
0.06,3:24:20,3,24,20
0.05,3:24:40,3,24,40
0.11,3:25:00,3,25,0
0.11,3:25:20,3,25,20
0.05,3:25:40,3,25,40
0.01,3:26:00,3,26,0
0.15,3:26:20,3,26,20
0.08,3:26:40,3,26,40
0.08,3:27:00,3,27,0
0.08,3:27:20,3,27,20
0.08,3:27:40,3,27,40
0.11,3:28:00,3,28,0
0.05,3:28:20,3,28,20
0.13,3:28:40,3,28,40
0.03,3:29:00,3,29,0
0.03,3:29:20,3,29,20
0.13,3:29:40,3,29,40
0.07,3:30:00,3,30,0
0.09,3:30:20,3,30,20
0.04,3:30:40,3,30,40
0.12,3:31:00,3,31,0
0.1,3:31:20,3,31,20
0.06,3:31:40,3,31,40
0.11,3:32:00,3,32,0
0.05,3:32:20,3,32,20
0.1,3:32:40,3,32,40
0.06,3:33:00,3,33,0
0.07,3:33:20,3,33,20
0.09,3:33:40,3,33,40
0.1,3:34:00,3,34,0
0.06,3:34:20,3,34,20
0.08,3:34:40,3,34,40
0.08,3:35:00,3,35,0
0.03,3:35:20,3,35,20
0.13,3:35:40,3,35,40
0.05,3:36:00,3,36,0
0.11,3:36:20,3,36,20
0.07,3:36:40,3,36,40
0.09,3:37:00,3,37,0
0.07,3:37:20,3,37,20
0.09,3:37:40,3,37,40
0.06,3:38:00,3,38,0
0.1,3:38:20,3,38,20
0.06,3:38:40,3,38,40
0.1,3:39:00,3,39,0
0.05,3:39:20,3,39,20
0.11,3:39:40,3,39,40
0.06,3:40:00,3,40,0
0.1,3:40:20,3,40,20
0.11,3:40:40,3,40,40
0.05,3:41:00,3,41,0
0.04,3:41:20,3,41,20
0.12,3:41:40,3,41,40
0.13,3:42:00,3,42,0
0.03,3:42:20,3,42,20
0.11,3:42:40,3,42,40
0.05,3:43:00,3,43,0
0.03,3:43:20,3,43,20
0.13,3:43:40,3,43,40
0.02,3:44:00,3,44,0
0.14,3:44:20,3,44,20
0.08,3:44:40,3,44,40
0.08,3:45:00,3,45,0
0.1,3:45:20,3,45,20
0.06,3:45:40,3,45,40
0.05,3:46:00,3,46,0
0.11,3:46:20,3,46,20
0.04,3:46:40,3,46,40
0.12,3:47:00,3,47,0
0.02,3:47:20,3,47,20
0.14,3:47:40,3,47,40
0.04,3:48:00,3,48,0
0.12,3:48:20,3,48,20
0.04,3:48:40,3,48,40
0.12,3:49:00,3,49,0
0.1,3:49:20,3,49,20
0.06,3:49:40,3,49,40
0.1,3:50:00,3,50,0
0.06,3:50:20,3,50,20
0.03,3:50:40,3,50,40
0.13,3:51:00,3,51,0
0.04,3:51:20,3,51,20
0.12,3:51:40,3,51,40
0.1,3:52:00,3,52,0
0.06,3:52:20,3,52,20
0.03,3:52:40,3,52,40
0.13,3:53:00,3,53,0
0.03,3:53:20,3,53,20
0.13,3:53:40,3,53,40
0.05,3:54:00,3,54,0
0.11,3:54:20,3,54,20
0.04,3:54:40,3,54,40
0.12,3:55:00,3,55,0
0.05,3:55:20,3,55,20
0.11,3:55:40,3,55,40
0.03,3:56:00,3,56,0
0.13,3:56:20,3,56,20
0.1,3:56:40,3,56,40
0.06,3:57:00,3,57,0
0.07,3:57:20,3,57,20
0.09,3:57:40,3,57,40
0.04,3:58:00,3,58,0
0.12,3:58:20,3,58,20
0.13,3:58:40,3,58,40
0.03,3:59:00,3,59,0
0.05,3:59:20,3,59,20
0.11,3:59:40,3,59,40
0.07,4:00:00,4,0,0
0.09,4:00:20,4,0,20
0.09,4:00:40,4,0,40
0.07,4:01:00,4,1,0
0.1,4:01:20,4,1,20
0.06,4:01:40,4,1,40
0.05,4:02:00,4,2,0
0.11,4:02:20,4,2,20
0.08,4:02:40,4,2,40
0.08,4:03:00,4,3,0
0.1,4:03:20,4,3,20
0.06,4:03:40,4,3,40
0.03,4:04:00,4,4,0
0.13,4:04:20,4,4,20
0.08,4:04:40,4,4,40
